::ffff:127.0.0.1 - - [11/Nov/2025 14:45:01] "GET /index.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/url-path-fixer.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiSupabase.v3.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/flags/HiFlags.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/hibase/index.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiFeed/HiFeed.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/hifeed/index.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/premium-calendar.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiFooter/HiFooter.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiModal/HiModal.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiShareSheet/HiShareSheet.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiMedallion/HiMedallion.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /styles/hi-dashboard.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /ui/HiStreaks/HiStreaks.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiDash.cta.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiDash.feedback.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiDash.share.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiDash.boot.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiMembership.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/RealUserCount.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/performance-manager.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /lib/HiWavesRealtime.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/onboarding.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/brand/hi-logo-light.png HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/premium-ux.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/premium-ux.css HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/premium-calendar.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:50] "GET /assets/db.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiGoldStandardModal.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /assets/hifeed-test-helper.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /assets/hifeed-verification.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /assets/progressive-auth.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /assets/anonymous-access-modal.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiPerformance.js HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] "GET /hi-muscle.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /ui/HiFooter/HiFooter.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /hi-island-NEW.html HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/HiBaseClient.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/auth.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/shares.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/users.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/streaks.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/stats.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /ui/HiShareSheet/HiShareSheet.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /ui/HiMedallion/HiMedallion.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiSupabase.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiPerformance.js HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /performance-manager.js.bak HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/referrals.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiPerformance.js HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/hibase/_telemetry.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/auth/HiAuthCore.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/monitoring/HiMonitor.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/monitoring/config.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/monitoring/vendors/analytics.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/monitoring/vendors/sentry.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/flags/flags.json HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/HiDB.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /ui/stats/initHiStats.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /performance-manager.js.bak HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/stats/GoldStandardTracker.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] code 404, message File not found
::1 - - [12/Nov/2025 01:13:51] "GET /performance-manager.js.bak HTTP/1.1" 404 -
::1 - - [12/Nov/2025 01:13:51] "GET /favicon.ico HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /lib/stats/HiOSEnhancementLayer.js HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /manifest.json HTTP/1.1" 200 -
::1 - - [12/Nov/2025 01:13:51] "GET /assets/brand/hi-logo-192.png HTTP/1.1" 200 -
